dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,36,0.360,0.334,0.049,0.064,person,16
animal,100,64,0.640,0.640,0.470,0.582,cow,39
ants1,325,325,1.000,0.492,0.005,0.009,cake,118
bag,311,109,0.350,0.335,0.246,0.279,traffic light,32
ball2,41,6,0.146,0.146,0.085,0.119,sports ball,5
ball3,171,78,0.456,0.452,0.214,0.251,sports ball,38
basketball,725,719,0.992,0.986,0.719,0.876,person,689
birds1,339,310,0.914,0.913,0.499,0.676,bird,293
birds2,80,76,0.950,0.948,0.633,0.767,bird,76
bolt1,350,345,0.986,0.982,0.654,0.835,person,290
book,175,175,1.000,0.969,0.257,0.340,person,124
bubble,243,126,0.519,0.512,0.436,0.469,frisbee,78
butterfly,151,121,0.801,0.795,0.638,0.725,bird,41
car1,742,719,0.969,0.950,0.763,0.856,car,635
conduction1,345,91,0.264,0.244,0.000,0.001,airplane,91
crabs1,160,69,0.431,0.422,0.244,0.299,person,35
dinosaur,326,326,1.000,0.874,0.388,0.482,person,130
diver,241,193,0.801,0.788,0.507,0.627,person,151
drone1,355,70,0.197,0.162,0.018,0.029,train,43
drone_across,147,45,0.306,0.288,0.145,0.199,bird,28
fernando,292,292,1.000,0.985,0.722,0.824,cat,227
fish1,366,170,0.464,0.355,0.041,0.061,teddy bear,140
fish2,310,207,0.668,0.653,0.219,0.281,carrot,86
flamingo1,1377,1344,0.976,0.963,0.088,0.167,chair,571
frisbee,248,247,0.996,0.993,0.521,0.668,frisbee,188
girl,1500,1497,0.998,0.992,0.763,0.892,person,1182
graduate,844,796,0.943,0.935,0.684,0.838,person,772
gymnastics1,567,557,0.982,0.968,0.646,0.852,person,523
gymnastics2,240,240,1.000,0.996,0.741,0.875,person,232
gymnastics3,118,101,0.856,0.842,0.452,0.560,person,88
hand,267,267,1.000,0.784,0.075,0.135,person,250
hand2,145,145,1.000,0.936,0.022,0.041,person,143
handball1,377,355,0.942,0.937,0.289,0.499,person,231
handball2,402,125,0.311,0.307,0.098,0.148,person,104
helicopter,708,624,0.881,0.866,0.520,0.718,person,347
iceskater1,661,660,0.998,0.980,0.742,0.899,person,658
iceskater2,707,707,1.000,0.977,0.601,0.751,person,662
kangaroo,87,69,0.793,0.763,0.469,0.539,bird,26
lamb,100,100,1.000,0.995,0.717,0.831,sheep,90
leaves,63,1,0.016,0.016,0.008,0.011,bird,1
marathon,101,101,1.000,0.985,0.043,0.087,person,77
matrix,100,93,0.930,0.856,0.148,0.226,person,79
monkey,101,97,0.960,0.958,0.794,0.890,person,34
motocross1,164,128,0.780,0.771,0.447,0.545,motorcycle,53
nature,999,989,0.990,0.982,0.810,0.898,bird,985
polo,111,111,1.000,0.998,0.658,0.820,person,103
rabbit,158,6,0.038,0.038,0.021,0.027,bear,3
rabbit2,100,99,0.990,0.987,0.768,0.868,dog,51
rowing,101,101,1.000,0.991,0.074,0.151,person,99
shaking,365,365,1.000,0.863,0.122,0.220,person,338
singer2,366,366,1.000,0.983,0.729,0.851,person,366
singer3,131,131,1.000,0.842,0.271,0.396,person,129
snake,101,31,0.307,0.304,0.173,0.221,kite,14
soccer1,392,383,0.977,0.817,0.111,0.191,person,332
soccer2,129,111,0.860,0.817,0.485,0.639,person,97
soldier,138,42,0.304,0.300,0.159,0.194,bird,25
surfing,120,120,1.000,0.999,0.652,0.884,person,119
tennis,213,204,0.958,0.947,0.150,0.232,chair,147
tiger,365,365,1.000,0.664,0.181,0.249,potted plant,200
wheel,101,101,1.000,0.996,0.405,0.631,bicycle,84
wiper,341,322,0.944,0.939,0.610,0.730,car,219
zebrafish1,400,359,0.897,0.570,0.281,0.393,bird,177
